bodyType,color,fuelType,productionDate,vehicleTransmission,engineDisplacement,enginePower,mileage,Привод,Руль,Состояние,Владельцы,ПТС,Таможня,Владение,Price
купе,чёрный,Бензин,2008,автоматическая,3.0,218,240000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 8 месяцев,590000
купе,чёрный,Дизель,2008,автоматическая,2.0,177,150000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 2 месяца,950000
хэтчбек 5 дв.,синий,Бензин,2018,автоматическая,1.5,136,67000,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,2 года и 2 месяца,1399999
хэтчбек 5 дв.,серый,Дизель,2010,автоматическая,2.0,204,153000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,8 месяцев,850000
хэтчбек 5 дв.,белый,Бензин,2011,автоматическая,1.6,115,105000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 года и 11 месяцев,450000
хэтчбек 5 дв.,белый,Бензин,2015,автоматическая,1.5,136,86000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1089000
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,170,118000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,2 года и 6 месяцев,690000
хэтчбек 5 дв.,серебристый,Бензин,2012,автоматическая,1.6,136,160000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 6 месяцев,539000
хэтчбек 5 дв.,синий,Дизель,2005,механическая,2.0,122,200000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,382000
хэтчбек 5 дв.,белый,Бензин,2010,автоматическая,1.6,115,107300,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,450000
хэтчбек 5 дв.,чёрный,Бензин,2011,автоматическая,1.6,170,146000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,850000
хэтчбек 5 дв.,синий,Бензин,2019,автоматическая,1.5,136,5200,задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,1 год и 2 месяца,1820000
хэтчбек 5 дв.,белый,Бензин,2013,автоматическая,1.6,136,75000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 9 месяцев,760000
хэтчбек 5 дв.,белый,Бензин,2017,автоматическая,2.0,184,9600,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,1 год и 11 месяцев,1550000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,2.0,136,132800,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,9 лет и 8 месяцев,525000
хэтчбек 3 дв.,белый,Бензин,2013,автоматическая,1.6,136,31400,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,900000
хэтчбек 5 дв.,синий,Дизель,2013,автоматическая,2.0,184,225000,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,6 лет и 5 месяцев,900000
хэтчбек 5 дв.,чёрный,Бензин,2012,автоматическая,1.6,136,169355,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,649000
купе,серебристый,Бензин,2008,автоматическая,3.0,218,140000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,6 лет и 8 месяцев,810000
хэтчбек 5 дв.,чёрный,Бензин,2010,автоматическая,1.6,115,69492,задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,5 лет и 1 месяц,599000
хэтчбек 5 дв.,белый,Дизель,2011,автоматическая,2.0,184,145700,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,900000
хэтчбек 3 дв.,красный,Бензин,2007,автоматическая,2.0,156,107000,задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,1 год и 3 месяца,535000
